example_id,complex_name,path,generated_chain,context_chain
ame:4avj__2__1.B__1.G,4avj__2__1.B__1.G,structures/ame/4avj__2__1.B__1.G.cif,1.B,1.B
ame:4avk__1__1.A__1.C,4avk__1__1.A__1.C,structures/ame/4avk__1__1.A__1.C.cif,1.A,1.A
ame:4az5__1__1.A__1.B,4az5__1__1.A__1.B,structures/ame/4az5__1__1.A__1.B.cif,1.A,1.A
ame:4az7__1__1.A__1.B,4az7__1__1.A__1.B,structures/ame/4az7__1__1.A__1.B.cif,1.A,1.A
ame:4azc__4__1.D__1.T,4azc__4__1.D__1.T,structures/ame/4azc__4__1.D__1.T.cif,1.D,1.D
ame:4azh__4__1.D__1.T,4azh__4__1.D__1.T,structures/ame/4azh__4__1.D__1.T.cif,1.D,1.D
ame:4b0b__1__1.A_1.B__1.C,4b0b__1__1.A_1.B__1.C,structures/ame/4b0b__1__1.A_1.B__1.C.cif,"1.A,1.B","1.A,1.B"
ame:4b0c__1__1.A_1.B__1.F,4b0c__1__1.A_1.B__1.F,structures/ame/4b0c__1__1.A_1.B__1.F.cif,"1.B,1.A","1.B,1.A"
ame:4b0i__3__1.E_2.E__2.J,4b0i__3__1.E_2.E__2.J,structures/ame/4b0i__3__1.E_2.E__2.J.cif,"1.E,2.E","1.E,2.E"
ame:4b0j__2__1.C_1.D__1.W,4b0j__2__1.C_1.D__1.W,structures/ame/4b0j__2__1.C_1.D__1.W.cif,"1.D,1.C","1.D,1.C"
ame:4b1i__1__1.A__1.E,4b1i__1__1.A__1.E,structures/ame/4b1i__1__1.A__1.E.cif,1.A,1.A
ame:4b1j__1__1.A__1.D,4b1j__1__1.A__1.D,structures/ame/4b1j__1__1.A__1.D.cif,1.A,1.A
ame:4b2g__2__1.B__1.H,4b2g__2__1.B__1.H,structures/ame/4b2g__2__1.B__1.H.cif,1.B,1.B
ame:4b8u__1__1.A_1.B__1.F,4b8u__1__1.A_1.B__1.F,structures/ame/4b8u__1__1.A_1.B__1.F.cif,"1.A,1.B","1.A,1.B"
ame:4bc2__2__1.B__1.G,4bc2__2__1.B__1.G,structures/ame/4bc2__2__1.B__1.G.cif,1.B,1.B
ame:4bc2__3__1.C__1.I,4bc2__3__1.C__1.I,structures/ame/4bc2__3__1.C__1.I.cif,1.C,1.C
ame:4bc4__3__1.C__1.H,4bc4__3__1.C__1.H,structures/ame/4bc4__3__1.C__1.H.cif,1.C,1.C
ame:4bc5__2__1.B__1.E,4bc5__2__1.B__1.E,structures/ame/4bc5__2__1.B__1.E.cif,1.B,1.B
ame:4bfs__1__1.A__1.B,4bfs__1__1.A__1.B,structures/ame/4bfs__1__1.A__1.B.cif,1.A,1.A
ame:4bft__1__1.A__1.D,4bft__1__1.A__1.D,structures/ame/4bft__1__1.A__1.D.cif,1.A,1.A
ame:4bfu__1__1.A__1.D,4bfu__1__1.A__1.D,structures/ame/4bfu__1__1.A__1.D.cif,1.A,1.A
ame:4bfv__1__1.A__1.D,4bfv__1__1.A__1.D,structures/ame/4bfv__1__1.A__1.D.cif,1.A,1.A
ame:4bfw__1__1.A__1.D,4bfw__1__1.A__1.D,structures/ame/4bfw__1__1.A__1.D.cif,1.A,1.A
ame:4bfx__1__1.A__1.D,4bfx__1__1.A__1.D,structures/ame/4bfx__1__1.A__1.D.cif,1.A,1.A
ame:4bfy__1__1.A__1.D,4bfy__1__1.A__1.D,structures/ame/4bfy__1__1.A__1.D.cif,1.A,1.A
ame:4bfz__1__1.A__1.D,4bfz__1__1.A__1.D,structures/ame/4bfz__1__1.A__1.D.cif,1.A,1.A
ame:4bg1__1__2.A__2.F,4bg1__1__2.A__2.F,structures/ame/4bg1__1__2.A__2.F.cif,2.A,2.A
ame:4bgk__1__2.A__2.F,4bgk__1__2.A__2.F,structures/ame/4bgk__1__2.A__2.F.cif,2.A,2.A
ame:4bgm__1__2.A__2.F,4bgm__1__2.A__2.F,structures/ame/4bgm__1__2.A__2.F.cif,2.A,2.A
ame:4bhf__1__1.A__1.F,4bhf__1__1.A__1.F,structures/ame/4bhf__1__1.A__1.F.cif,1.A,1.A
ame:4bhg__1__1.A__1.H,4bhg__1__1.A__1.H,structures/ame/4bhg__1__1.A__1.H.cif,1.A,1.A
ame:4bhi__1__2.A__2.F,4bhi__1__2.A__2.F,structures/ame/4bhi__1__2.A__2.F.cif,2.A,2.A
ame:4bjh__1__6.A__6.D,4bjh__1__6.A__6.D,structures/ame/4bjh__1__6.A__6.D.cif,6.A,6.A
ame:4btv__1__1.A__1.C,4btv__1__1.A__1.C,structures/ame/4btv__1__1.A__1.C.cif,1.A,1.A
ame:4btv__2__1.B__1.D,4btv__2__1.B__1.D,structures/ame/4btv__2__1.B__1.D.cif,1.B,1.B
ame:4buq__2__1.B__1.D,4buq__2__1.B__1.D,structures/ame/4buq__2__1.B__1.D.cif,1.B,1.B
ame:4bzn__1__1.A__1.B,4bzn__1__1.A__1.B,structures/ame/4bzn__1__1.A__1.B.cif,1.A,1.A
ame:4bzo__1__1.A__1.B,4bzo__1__1.A__1.B,structures/ame/4bzo__1__1.A__1.B.cif,1.A,1.A
ame:4c0j__1__1.A__1.H,4c0j__1__1.A__1.H,structures/ame/4c0j__1__1.A__1.H.cif,1.A,1.A
ame:4c0k__1__1.A__1.B,4c0k__1__1.A__1.B,structures/ame/4c0k__1__1.A__1.B.cif,1.A,1.A
ame:4c0l__1__1.A__1.J,4c0l__1__1.A__1.J,structures/ame/4c0l__1__1.A__1.J.cif,1.A,1.A
ame:4c1u__1__1.A__1.B,4c1u__1__1.A__1.B,structures/ame/4c1u__1__1.A__1.B.cif,1.A,1.A
ame:4c5w__1__2.A__2.H,4c5w__1__2.A__2.H,structures/ame/4c5w__1__2.A__2.H.cif,2.A,2.A
ame:4c7f__2__1.B__1.JA,4c7f__2__1.B__1.JA,structures/ame/4c7f__2__1.B__1.JA.cif,1.B,1.B
ame:4c91__1__1.A__1.D,4c91__1__1.A__1.D,structures/ame/4c91__1__1.A__1.D.cif,1.A,1.A
ame:4ccw__1__1.A__1.B,4ccw__1__1.A__1.B,structures/ame/4ccw__1__1.A__1.B.cif,1.A,1.A
ame:4cdc__1__1.G_1.H_1.I__1.X,4cdc__1__1.G_1.H_1.I__1.X,structures/ame/4cdc__1__1.G_1.H_1.I__1.X.cif,"1.G,1.H,1.I","1.G,1.H,1.I"
ame:4cde__2__1.A_1.B_1.C__1.I,4cde__2__1.A_1.B_1.C__1.I,structures/ame/4cde__2__1.A_1.B_1.C__1.I.cif,"1.A,1.B,1.C","1.A,1.B,1.C"
ame:4cl6__1__1.A_1.B__1.F,4cl6__1__1.A_1.B__1.F,structures/ame/4cl6__1__1.A_1.B__1.F.cif,"1.B,1.A","1.B,1.A"
ame:4clp__1__3.A__3.G,4clp__1__3.A__3.G,structures/ame/4clp__1__3.A__3.G.cif,3.A,3.A
ame:4clt__1__1.A__1.D,4clt__1__1.A__1.D,structures/ame/4clt__1__1.A__1.D.cif,1.A,1.A
ame:4cmf__1__1.A_3.A__1.B,4cmf__1__1.A_3.A__1.B,structures/ame/4cmf__1__1.A_3.A__1.B.cif,"1.A,3.A","1.A,3.A"
ame:4cq6__1__1.B__1.F,4cq6__1__1.B__1.F,structures/ame/4cq6__1__1.B__1.F.cif,1.B,1.B
ame:4cq7__1__1.A__1.D,4cq7__1__1.A__1.D,structures/ame/4cq7__1__1.A__1.D.cif,1.A,1.A
ame:4csm__2__2.B__2.F,4csm__2__2.B__2.F,structures/ame/4csm__2__2.B__2.F.cif,2.B,2.B
ame:4css__1__1.A__1.B,4css__1__1.A__1.B,structures/ame/4css__1__1.A__1.B.cif,1.A,1.A
ame:4cst__1__1.A__1.B,4cst__1__1.A__1.B,structures/ame/4cst__1__1.A__1.B.cif,1.A,1.A
ame:4csw__1__1.A__1.D,4csw__1__1.A__1.D,structures/ame/4csw__1__1.A__1.D.cif,1.A,1.A
ame:4d0z__6__1.E__1.EB,4d0z__6__1.E__1.EB,structures/ame/4d0z__6__1.E__1.EB.cif,1.E,1.E
ame:4d1a__1__1.A__1.B,4d1a__1__1.A__1.B,structures/ame/4d1a__1__1.A__1.B.cif,1.A,1.A
ame:4d1b__1__1.A__1.B,4d1b__1__1.A__1.B,structures/ame/4d1b__1__1.A__1.B.cif,1.A,1.A
ame:4d1c__1__1.A__1.B,4d1c__1__1.A__1.B,structures/ame/4d1c__1__1.A__1.B.cif,1.A,1.A
ame:4d4j__1__2.A__2.E,4d4j__1__2.A__2.E,structures/ame/4d4j__1__2.A__2.E.cif,2.A,2.A
ame:4d4k__1__1.A__1.E,4d4k__1__1.A__1.E,structures/ame/4d4k__1__1.A__1.E.cif,1.A,1.A
ame:4d4l__1__2.A__2.E,4d4l__1__2.A__2.E,structures/ame/4d4l__1__2.A__2.E.cif,2.A,2.A
ame:4d4m__1__1.A__1.F,4d4m__1__1.A__1.F,structures/ame/4d4m__1__1.A__1.F.cif,1.A,1.A
ame:4d8e__1__1.A__1.B,4d8e__1__1.A__1.B,structures/ame/4d8e__1__1.A__1.B.cif,1.A,1.A
ame:4dig__1__1.A__1.D,4dig__1__1.A__1.D,structures/ame/4dig__1__1.A__1.D.cif,1.A,1.A
ame:4dig__1__1.A__1.E,4dig__1__1.A__1.E,structures/ame/4dig__1__1.A__1.E.cif,1.A,1.A
ame:4dmo__1__1.A__1.C,4dmo__1__1.A__1.C,structures/ame/4dmo__1__1.A__1.C.cif,1.A,1.A
ame:4dqd__1__1.A__1.B,4dqd__1__1.A__1.B,structures/ame/4dqd__1__1.A__1.B.cif,1.A,1.A
ame:4dqd__1__1.A__1.E,4dqd__1__1.A__1.E,structures/ame/4dqd__1__1.A__1.E.cif,1.A,1.A
ame:4dwk__1__1.A__1.C,4dwk__1__1.A__1.C,structures/ame/4dwk__1__1.A__1.C.cif,1.A,1.A
ame:4dxu__1__1.A__1.D,4dxu__1__1.A__1.D,structures/ame/4dxu__1__1.A__1.D.cif,1.A,1.A
ame:4dxu__1__1.A__1.E,4dxu__1__1.A__1.E,structures/ame/4dxu__1__1.A__1.E.cif,1.A,1.A
ame:4dxu__1__1.A__1.K,4dxu__1__1.A__1.K,structures/ame/4dxu__1__1.A__1.K.cif,1.A,1.A
ame:4dy6__1__1.A_4.A__4.B,4dy6__1__1.A_4.A__4.B,structures/ame/4dy6__1__1.A_4.A__4.B.cif,"1.A,4.A","1.A,4.A"
ame:4dya__1__1.A__1.C,4dya__1__1.A__1.C,structures/ame/4dya__1__1.A__1.C.cif,1.A,1.A
ame:4dyb__2__2.B__2.D,4dyb__2__2.B__2.D,structures/ame/4dyb__2__2.B__2.D.cif,2.B,2.B
ame:4dyn__1__1.A__1.C,4dyn__1__1.A__1.C,structures/ame/4dyn__1__1.A__1.C.cif,1.A,1.A
ame:4dyp__1__1.A__1.C,4dyp__1__1.A__1.C,structures/ame/4dyp__1__1.A__1.C.cif,1.A,1.A
ame:4e6x__2__1.B__1.E,4e6x__2__1.B__1.E,structures/ame/4e6x__2__1.B__1.E.cif,1.B,1.B
ame:4e8w__3__2.A__2.C,4e8w__3__2.A__2.C,structures/ame/4e8w__3__2.A__2.C.cif,2.A,2.A
ame:4e8y__1__1.A__1.C,4e8y__1__1.A__1.C,structures/ame/4e8y__1__1.A__1.C.cif,1.A,1.A
ame:4e8z__3__1.B__1.E,4e8z__3__1.B__1.E,structures/ame/4e8z__3__1.B__1.E.cif,1.B,1.B
ame:4e9u__1__1.A__1.B,4e9u__1__1.A__1.B,structures/ame/4e9u__1__1.A__1.B.cif,1.A,1.A
ame:4e9z__1__1.A__1.B,4e9z__1__1.A__1.B,structures/ame/4e9z__1__1.A__1.B.cif,1.A,1.A
ame:4ea1__1__1.A__1.B,4ea1__1__1.A__1.B,structures/ame/4ea1__1__1.A__1.B.cif,1.A,1.A
ame:4ea2__1__1.A__1.B,4ea2__1__1.A__1.B,structures/ame/4ea2__1__1.A__1.B.cif,1.A,1.A
ame:4ea9__1__1.A_3.A__3.B,4ea9__1__1.A_3.A__3.B,structures/ame/4ea9__1__1.A_3.A__3.B.cif,"1.A,3.A","1.A,3.A"
ame:4eb9__2__1.B_1.D__1.J,4eb9__2__1.B_1.D__1.J,structures/ame/4eb9__2__1.B_1.D__1.J.cif,"1.D,1.B","1.D,1.B"
ame:4epl__1__1.A__1.B,4epl__1__1.A__1.B,structures/ame/4epl__1__1.A__1.B.cif,1.A,1.A
ame:4er6__1__1.A__1.C,4er6__1__1.A__1.C,structures/ame/4er6__1__1.A__1.C.cif,1.A,1.A
ame:4er7__1__1.A__1.B,4er7__1__1.A__1.B,structures/ame/4er7__1__1.A__1.B.cif,1.A,1.A
ame:4euo__1__1.A__1.E,4euo__1__1.A__1.E,structures/ame/4euo__1__1.A__1.E.cif,1.A,1.A
ame:4f0d__1__1.A__1.C,4f0d__1__1.A__1.C,structures/ame/4f0d__1__1.A__1.C.cif,1.A,1.A
ame:4f13__1__1.A__1.C,4f13__1__1.A__1.C,structures/ame/4f13__1__1.A__1.C.cif,1.A,1.A
ame:4f13__2__1.B__1.D,4f13__2__1.B__1.D,structures/ame/4f13__2__1.B__1.D.cif,1.B,1.B
ame:4f4b__1__1.A__1.C,4f4b__1__1.A__1.C,structures/ame/4f4b__1__1.A__1.C.cif,1.A,1.A
ame:4f4s__1__1.D_1.E__1.M,4f4s__1__1.D_1.E__1.M,structures/ame/4f4s__1__1.D_1.E__1.M.cif,"1.D,1.E","1.D,1.E"
ame:4f8b__1__1.A_1.B__1.F,4f8b__1__1.A_1.B__1.F,structures/ame/4f8b__1__1.A_1.B__1.F.cif,"1.B,1.A","1.B,1.A"
ame:4fes__2__1.B__1.D,4fes__2__1.B__1.D,structures/ame/4fes__2__1.B__1.D.cif,1.B,1.B
ame:4feu__1__1.A__1.G,4feu__1__1.A__1.G,structures/ame/4feu__1__1.A__1.G.cif,1.A,1.A
ame:4fev__6__1.F__1.W,4fev__6__1.F__1.W,structures/ame/4fev__6__1.F__1.W.cif,1.F,1.F
ame:4fev__6__1.F__1.X,4fev__6__1.F__1.X,structures/ame/4fev__6__1.F__1.X.cif,1.F,1.F
ame:4few__7__1.B__1.M,4few__7__1.B__1.M,structures/ame/4few__7__1.B__1.M.cif,1.B,1.B
ame:4fex__1__1.A__1.F,4fex__1__1.A__1.F,structures/ame/4fex__1__1.A__1.F.cif,1.A,1.A
ame:4fex__4__1.D__1.O,4fex__4__1.D__1.O,structures/ame/4fex__4__1.D__1.O.cif,1.D,1.D
ame:4ffg__4__1.D__1.H,4ffg__4__1.D__1.H,structures/ame/4ffg__4__1.D__1.H.cif,1.D,1.D
ame:4ffg__4__1.D__1.L,4ffg__4__1.D__1.L,structures/ame/4ffg__4__1.D__1.L.cif,1.D,1.D
ame:4fgc__1__2.B_2.C__2.J,4fgc__1__2.B_2.C__2.J,structures/ame/4fgc__1__2.B_2.C__2.J.cif,"2.B,2.C","2.B,2.C"
ame:4fil__1__1.A__1.E,4fil__1__1.A__1.E,structures/ame/4fil__1__1.A__1.E.cif,1.A,1.A
ame:4fim__1__1.A__1.E,4fim__1__1.A__1.E,structures/ame/4fim__1__1.A__1.E.cif,1.A,1.A
ame:4fim__1__1.A__1.J,4fim__1__1.A__1.J,structures/ame/4fim__1__1.A__1.J.cif,1.A,1.A
ame:4fjp__1__1.A__1.D,4fjp__1__1.A__1.D,structures/ame/4fjp__1__1.A__1.D.cif,1.A,1.A
ame:4fjp__1__1.A__1.E,4fjp__1__1.A__1.E,structures/ame/4fjp__1__1.A__1.E.cif,1.A,1.A
ame:4fjp__1__1.A__1.K,4fjp__1__1.A__1.K,structures/ame/4fjp__1__1.A__1.K.cif,1.A,1.A
ame:4fnc__1__1.A__1.D,4fnc__1__1.A__1.D,structures/ame/4fnc__1__1.A__1.D.cif,1.A,1.A
ame:4for__1__1.A__1.C,4for__1__1.A__1.C,structures/ame/4for__1__1.A__1.C.cif,1.A,1.A
ame:4for__1__1.A__1.J,4for__1__1.A__1.J,structures/ame/4for__1__1.A__1.J.cif,1.A,1.A
ame:4for__1__1.A__1.K,4for__1__1.A__1.K,structures/ame/4for__1__1.A__1.K.cif,1.A,1.A
ame:4g2r__1__1.A_1.B__1.E,4g2r__1__1.A_1.B__1.E,structures/ame/4g2r__1__1.A_1.B__1.E.cif,"1.B,1.A","1.B,1.A"
ame:4g2z__1__1.A__1.D,4g2z__1__1.A__1.D,structures/ame/4g2z__1__1.A__1.D.cif,1.A,1.A
ame:4g2z__1__1.A__1.E,4g2z__1__1.A__1.E,structures/ame/4g2z__1__1.A__1.E.cif,1.A,1.A
ame:4g2z__1__1.A__1.K,4g2z__1__1.A__1.K,structures/ame/4g2z__1__1.A__1.K.cif,1.A,1.A
ame:4g3m__1__1.D__1.O,4g3m__1__1.D__1.O,structures/ame/4g3m__1__1.D__1.O.cif,1.D,1.D
ame:4g61__1__1.A_1.B__1.P,4g61__1__1.A_1.B__1.P,structures/ame/4g61__1__1.A_1.B__1.P.cif,"1.A,1.B","1.A,1.B"
ame:4gcp__2__3.B__3.D,4gcp__2__3.B__3.D,structures/ame/4gcp__2__3.B__3.D.cif,3.B,3.B
ame:4gcq__2__1.B__1.D,4gcq__2__1.B__1.D,structures/ame/4gcq__2__1.B__1.D.cif,1.B,1.B
ame:4gkh__6__1.F__1.TA,4gkh__6__1.F__1.TA,structures/ame/4gkh__6__1.F__1.TA.cif,1.F,1.F
ame:4gkh__6__1.F__1.UA,4gkh__6__1.F__1.UA,structures/ame/4gkh__6__1.F__1.UA.cif,1.F,1.F
ame:4gki__10__1.J__1.OB,4gki__10__1.J__1.OB,structures/ame/4gki__10__1.J__1.OB.cif,1.J,1.J
ame:4gki__9__1.I__1.LB,4gki__9__1.I__1.LB,structures/ame/4gki__9__1.I__1.LB.cif,1.I,1.I
ame:4go7__1__1.A_2.A__1.B,4go7__1__1.A_2.A__1.B,structures/ame/4go7__1__1.A_2.A__1.B.cif,"1.A,2.A","1.A,2.A"
ame:4grk__1__1.A__1.C,4grk__1__1.A__1.C,structures/ame/4grk__1__1.A__1.C.cif,1.A,1.A
ame:4grk__1__1.A__1.D,4grk__1__1.A__1.D,structures/ame/4grk__1__1.A__1.D.cif,1.A,1.A
ame:4grk__1__1.A__1.E,4grk__1__1.A__1.E,structures/ame/4grk__1__1.A__1.E.cif,1.A,1.A
ame:4grk__1__1.A__1.L,4grk__1__1.A__1.L,structures/ame/4grk__1__1.A__1.L.cif,1.A,1.A
ame:4gs8__2__1.B__1.E,4gs8__2__1.B__1.E,structures/ame/4gs8__2__1.B__1.E.cif,1.B,1.B
ame:4gsc__1__1.A__1.D,4gsc__1__1.A__1.D,structures/ame/4gsc__1__1.A__1.D.cif,1.A,1.A
ame:4gsc__2__1.B__1.F,4gsc__2__1.B__1.F,structures/ame/4gsc__2__1.B__1.F.cif,1.B,1.B
ame:4gsc__3__1.A__1.D,4gsc__3__1.A__1.D,structures/ame/4gsc__3__1.A__1.D.cif,1.A,1.A
ame:4gsc__3__1.B__1.F,4gsc__3__1.B__1.F,structures/ame/4gsc__3__1.B__1.F.cif,1.B,1.B
ame:4gsf__2__1.B__1.E,4gsf__2__1.B__1.E,structures/ame/4gsf__2__1.B__1.E.cif,1.B,1.B
ame:4gt9__1__3.A__3.E,4gt9__1__3.A__3.E,structures/ame/4gt9__1__3.A__3.E.cif,3.A,3.A
ame:4gvs__1__1.B__1.D,4gvs__1__1.B__1.D,structures/ame/4gvs__1__1.B__1.D.cif,1.B,1.B
ame:4gyl__1__1.A__1.B,4gyl__1__1.A__1.B,structures/ame/4gyl__1__1.A__1.B.cif,1.A,1.A
ame:4h04__3__1.B__1.D,4h04__3__1.B__1.D,structures/ame/4h04__3__1.B__1.D.cif,1.B,1.B
ame:4h1d__2__2.A__2.B,4h1d__2__2.A__2.B,structures/ame/4h1d__2__2.A__2.B.cif,2.A,2.A
ame:4h2j__1__1.A__1.C,4h2j__1__1.A__1.C,structures/ame/4h2j__1__1.A__1.C.cif,1.A,1.A
ame:4h2m__1__1.A__1.C,4h2m__1__1.A__1.C,structures/ame/4h2m__1__1.A__1.C.cif,1.A,1.A
ame:4h2o__1__1.B__1.E,4h2o__1__1.B__1.E,structures/ame/4h2o__1__1.B__1.E.cif,1.B,1.B
ame:4h38__1__1.A__1.C,4h38__1__1.A__1.C,structures/ame/4h38__1__1.A__1.C.cif,1.A,1.A
ame:4h3a__1__1.A__1.C,4h3a__1__1.A__1.C,structures/ame/4h3a__1__1.A__1.C.cif,1.A,1.A
ame:4h3c__1__1.B__1.E,4h3c__1__1.B__1.E,structures/ame/4h3c__1__1.B__1.E.cif,1.B,1.B
ame:4hai__1__1.A__1.D,4hai__1__1.A__1.D,structures/ame/4hai__1__1.A__1.D.cif,1.A,1.A
ame:4hcy__1__1.A__1.G,4hcy__1__1.A__1.G,structures/ame/4hcy__1__1.A__1.G.cif,1.A,1.A
ame:4hhy__4__1.B__1.H,4hhy__4__1.B__1.H,structures/ame/4hhy__4__1.B__1.H.cif,1.B,1.B
ame:4hhz__1__1.C__1.I,4hhz__1__1.C__1.I,structures/ame/4hhz__1__1.C__1.I.cif,1.C,1.C
ame:4hjv__2__1.B__1.J,4hjv__2__1.B__1.J,structures/ame/4hjv__2__1.B__1.J.cif,1.B,1.B
ame:4huk__1__1.A__1.C,4huk__1__1.A__1.C,structures/ame/4huk__1__1.A__1.C.cif,1.A,1.A
ame:4hum__1__1.A__1.C,4hum__1__1.A__1.C,structures/ame/4hum__1__1.A__1.C.cif,1.A,1.A
ame:4hun__1__1.A__1.C,4hun__1__1.A__1.C,structures/ame/4hun__1__1.A__1.C.cif,1.A,1.A
ame:4hy4__2__1.B__1.F,4hy4__2__1.B__1.F,structures/ame/4hy4__2__1.B__1.F.cif,1.B,1.B
ame:4hy5__2__1.B__1.F,4hy5__2__1.B__1.F,structures/ame/4hy5__2__1.B__1.F.cif,1.B,1.B
ame:4i1r__1__1.A__1.B,4i1r__1__1.A__1.B,structures/ame/4i1r__1__1.A__1.B.cif,1.A,1.A
ame:4i3q__1__1.A__1.B,4i3q__1__1.A__1.B,structures/ame/4i3q__1__1.A__1.B.cif,1.A,1.A
ame:4iha__2__1.B__1.D,4iha__2__1.B__1.D,structures/ame/4iha__2__1.B__1.D.cif,1.B,1.B
ame:4iom__2__1.A__1.J,4iom__2__1.A__1.J,structures/ame/4iom__2__1.A__1.J.cif,1.A,1.A
ame:4iuw__1__1.A__1.R,4iuw__1__1.A__1.R,structures/ame/4iuw__1__1.A__1.R.cif,1.A,1.A
ame:4j03__1__1.A__1.D,4j03__1__1.A__1.D,structures/ame/4j03__1__1.A__1.D.cif,1.A,1.A
ame:4j4v__1__1.D_1.E__1.J,4j4v__1__1.D_1.E__1.J,structures/ame/4j4v__1__1.D_1.E__1.J.cif,"1.E,1.D","1.E,1.D"
ame:4j75__1__1.A__1.C,4j75__1__1.A__1.C,structures/ame/4j75__1__1.A__1.C.cif,1.A,1.A
ame:4j8t__1__1.A__1.E,4j8t__1__1.A__1.E,structures/ame/4j8t__1__1.A__1.E.cif,1.A,1.A
ame:4j9a__11__1.B__1.K,4j9a__11__1.B__1.K,structures/ame/4j9a__11__1.B__1.K.cif,1.B,1.B
ame:4jch__1__1.A__1.C,4jch__1__1.A__1.C,structures/ame/4jch__1__1.A__1.C.cif,1.A,1.A
ame:4jit__1__1.B__1.E,4jit__1__1.B__1.E,structures/ame/4jit__1__1.B__1.E.cif,1.B,1.B
ame:4jjk__1__2.A__2.C,4jjk__1__2.A__2.C,structures/ame/4jjk__1__2.A__2.C.cif,2.A,2.A
ame:4jll__2__2.A__2.B,4jll__2__2.A__2.B,structures/ame/4jll__2__2.A__2.B.cif,2.A,2.A
ame:4jls__2__1.H__1.P,4jls__2__1.H__1.P,structures/ame/4jls__2__1.H__1.P.cif,1.H,1.H
ame:4jmu__1__1.A__1.C,4jmu__1__1.A__1.C,structures/ame/4jmu__1__1.A__1.C.cif,1.A,1.A
ame:4jnc__1__1.A__1.B,4jnc__1__1.A__1.B,structures/ame/4jnc__1__1.A__1.B.cif,1.A,1.A
ame:4jvi__1__1.A_2.A__2.B,4jvi__1__1.A_2.A__2.B,structures/ame/4jvi__1__1.A_2.A__2.B.cif,"1.A,2.A","1.A,2.A"
ame:4jy9__1__1.A__1.I,4jy9__1__1.A__1.I,structures/ame/4jy9__1__1.A__1.I.cif,1.A,1.A
ame:4jz7__1__1.B__1.F,4jz7__1__1.B__1.F,structures/ame/4jz7__1__1.B__1.F.cif,1.B,1.B
ame:4k17__3__1.C__1.G,4k17__3__1.C__1.G,structures/ame/4k17__3__1.C__1.G.cif,1.C,1.C
ame:4k18__1__1.A__1.C,4k18__1__1.A__1.C,structures/ame/4k18__1__1.A__1.C.cif,1.A,1.A
ame:4k1b__1__1.A__1.C,4k1b__1__1.A__1.C,structures/ame/4k1b__1__1.A__1.C.cif,1.A,1.A
ame:4kdd__1__1.A__1.D,4kdd__1__1.A__1.D,structures/ame/4kdd__1__1.A__1.D.cif,1.A,1.A
ame:4klw__2__2.A__2.B,4klw__2__2.A__2.B,structures/ame/4klw__2__2.A__2.B.cif,2.A,2.A
ame:4kor__2__2.A__2.B,4kor__2__2.A__2.B,structures/ame/4kor__2__2.A__2.B.cif,2.A,2.A
ame:4kou__1__1.A__1.H,4kou__1__1.A__1.H,structures/ame/4kou__1__1.A__1.H.cif,1.A,1.A
ame:4koy__1__1.A__1.O,4koy__1__1.A__1.O,structures/ame/4koy__1__1.A__1.O.cif,1.A,1.A
ame:4kp1__1__1.A__1.B,4kp1__1__1.A__1.B,structures/ame/4kp1__1__1.A__1.B.cif,1.A,1.A
ame:4kr4__1__1.C__1.D,4kr4__1__1.C__1.D,structures/ame/4kr4__1__1.C__1.D.cif,1.C,1.C
ame:4kx6__2__1.F_1.G_1.H__1.R,4kx6__2__1.F_1.G_1.H__1.R,structures/ame/4kx6__2__1.F_1.G_1.H__1.R.cif,"1.F,1.G,1.H","1.F,1.G,1.H"
ame:4l02__3__1.C__1.F,4l02__3__1.C__1.F,structures/ame/4l02__3__1.C__1.F.cif,1.C,1.C
ame:4l6s__1__1.A__1.C,4l6s__1__1.A__1.C,structures/ame/4l6s__1__1.A__1.C.cif,1.A,1.A
ame:4l7n__1__1.A__1.B,4l7n__1__1.A__1.B,structures/ame/4l7n__1__1.A__1.B.cif,1.A,1.A
ame:4l7p__1__1.A__1.B,4l7p__1__1.A__1.B,structures/ame/4l7p__1__1.A__1.B.cif,1.A,1.A
ame:4l7r__1__1.A__1.B,4l7r__1__1.A__1.B,structures/ame/4l7r__1__1.A__1.B.cif,1.A,1.A
ame:4l7u__1__1.A__1.B,4l7u__1__1.A__1.B,structures/ame/4l7u__1__1.A__1.B.cif,1.A,1.A
ame:4l89__1__1.A__1.K,4l89__1__1.A__1.K,structures/ame/4l89__1__1.A__1.K.cif,1.A,1.A
ame:4l8f__1__1.B__1.E,4l8f__1__1.B__1.E,structures/ame/4l8f__1__1.B__1.E.cif,1.B,1.B
ame:4lde__1__1.A__1.C,4lde__1__1.A__1.C,structures/ame/4lde__1__1.A__1.C.cif,1.A,1.A
ame:4lde__1__1.A__1.E,4lde__1__1.A__1.E,structures/ame/4lde__1__1.A__1.E.cif,1.A,1.A
ame:4ldl__1__1.A__1.C,4ldl__1__1.A__1.C,structures/ame/4ldl__1__1.A__1.C.cif,1.A,1.A
ame:4ldl__1__1.A__1.E,4ldl__1__1.A__1.E,structures/ame/4ldl__1__1.A__1.E.cif,1.A,1.A
ame:4ldo__1__1.A__1.C,4ldo__1__1.A__1.C,structures/ame/4ldo__1__1.A__1.C.cif,1.A,1.A
ame:4ldo__1__1.A__1.D,4ldo__1__1.A__1.D,structures/ame/4ldo__1__1.A__1.D.cif,1.A,1.A
